CSA,indicator,indicator_category,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2006 - 2010
Brooklyn/Curtis Bay/Hawkins Point,pread8XX,Education and Youth,,,,,,37.5,43.859649122807014,55.072463768115945,52.121212121212125,65.89147286821705,56.25,
Canton,pread8XX,Education and Youth,,,,,,57.89473684210527,33.33333333333333,50.0,71.42857142857143,80.0,88.88888888888889,
Cedonia/Frankford,pread8XX,Education and Youth,,,,,,48.201438848920866,45.08474576271186,46.2962962962963,57.70750988142292,66.39004149377593,52.1551724137931,
Cherry Hill,pread8XX,Education and Youth,,,,,,40.476190476190474,35.86206896551724,44.44444444444444,41.98473282442748,50.75757575757576,54.90196078431373,
Chinquapin Park/Belvedere,pread8XX,Education and Youth,,,,,,57.333333333333336,33.33333333333333,46.808510638297875,55.172413793103445,56.36363636363636,42.42424242424242,
Claremont/Armistead,pread8XX,Education and Youth,,,,,,42.857142857142854,38.63636363636363,33.84615384615385,46.25,67.90123456790124,56.17977528089888,
Clifton-Berea,pread8XX,Education and Youth,,,,,,30.994152046783626,29.18918918918919,37.57225433526011,35.0,50.641025641025635,42.76729559748428,
Cross-Country/Cheswolde,pread8XX,Education and Youth,,,,,,41.66666666666667,54.54545454545454,58.620689655172406,73.33333333333333,78.57142857142857,72.22222222222221,
Dickeyville/Franklintown,pread8XX,Education and Youth,,,,,,43.24324324324324,24.324324324324326,56.86274509803921,63.26530612244898,70.2127659574468,48.93617021276596,
Dorchester/Ashburton,pread8XX,Education and Youth,,,,,,44.516129032258064,48.734177215189874,55.24475524475524,59.210526315789465,54.88721804511278,60.16949152542372,
Downtown/Seton Hill,pread8XX,Education and Youth,,,,,,41.37931034482759,31.818181818181817,52.94117647058824,46.15384615384615,50.0,52.94117647058824,
Edmondson Village,pread8XX,Education and Youth,,,,,,44.73684210526316,36.231884057971016,51.8796992481203,48.226950354609926,60.0,57.42574257425742,
Fells Point,pread8XX,Education and Youth,,,,,,41.17647058823529,58.333333333333336,47.82608695652174,43.47826086956522,61.111111111111114,76.19047619047619,
Forest Park/Walbrook,pread8XX,Education and Youth,,,,,,38.57142857142858,46.017699115044245,40.49586776859504,50.0,58.490566037735846,47.107438016528924,
Glen-Falstaff,pread8XX,Education and Youth,,,,,,45.83333333333333,46.42857142857143,50.467289719626166,58.51063829787234,77.6595744680851,60.19417475728155,
Greater Charles Village/Barclay,pread8XX,Education and Youth,,,,,,43.75,47.61904761904761,66.15384615384615,71.73913043478261,71.42857142857143,53.16455696202531,
Greater Govans,pread8XX,Education and Youth,,,,,,43.75,50.34013605442177,38.46153846153847,51.07913669064749,74.31192660550458,64.34108527131784,
Greater Mondawmin,pread8XX,Education and Youth,,,,,,47.74774774774775,35.38461538461539,45.2991452991453,43.15789473684211,51.06382978723404,44.761904761904766,
Greater Roland Park/Poplar Hill,pread8XX,Education and Youth,,,,,,90.0,75.0,91.66666666666666,92.3076923076923,88.88888888888889,80.0,
Greater Rosemont,pread8XX,Education and Youth,,,,,,34.55149501661129,34.49367088607595,38.43283582089552,42.731277533039645,59.30232558139535,49.79919678714859,
Greenmount East,pread8XX,Education and Youth,,,,,,24.528301886792452,34.4,37.60683760683761,35.24590163934426,53.46534653465347,48.091603053435115,
Hamilton,pread8XX,Education and Youth,,,,,,51.798561151079134,55.828220858895705,56.934306569343065,62.68656716417911,74.85380116959064,65.83333333333333,
Harbor East/Little Italy,pread8XX,Education and Youth,,,,,,,,,,,34.21052631578947,
Harford/Echodale,pread8XX,Education and Youth,,,,,,57.446808510638306,57.3170731707317,61.87050359712231,68.29268292682927,82.83582089552239,63.94557823129252,
Highlandtown,pread8XX,Education and Youth,,,,,,26.31578947368421,43.333333333333336,45.16129032258064,35.714285714285715,59.09090909090909,73.17073170731707,
Howard Park/West Arlington,pread8XX,Education and Youth,,,,,,40.869565217391305,43.24324324324324,45.348837209302324,48.31460674157304,62.68656716417911,55.434782608695656,
Inner Harbor/Federal Hill,pread8XX,Education and Youth,,,,,,46.51162790697674,43.24324324324324,36.36363636363637,67.74193548387096,66.66666666666666,76.66666666666667,
Jonestown/Oldtown,pread8XX,Education and Youth,,,,,,33.94495412844037,27.956989247311824,40.0,41.30434782608695,63.829787234042556,,
Lauraville,pread8XX,Education and Youth,,,,,,46.42857142857143,48.67256637168141,61.702127659574465,64.36781609195403,70.0,53.78151260504202,
Loch Raven,pread8XX,Education and Youth,,,,,,53.72340425531915,48.03921568627451,53.14685314685315,64.0,72.44094488188976,52.87356321839081,
Madison/East End,pread8XX,Education and Youth,,,,,,29.761904761904763,32.71604938271605,24.503311258278146,33.33333333333333,48.760330578512395,42.4390243902439,
Medfield/Hampden/Woodberry,pread8XX,Education and Youth,,,,,,58.139534883720934,57.692307692307686,57.74647887323944,78.57142857142857,77.90697674418605,69.56521739130434,
Midtown*,pread8XX,Education and Youth,,,,,,33.92857142857143,45.45454545454545,33.33333333333333,50.0,62.5,41.86046511627907,
Midway/Coldstream,pread8XX,Education and Youth,,,,,,31.843575418994412,36.84210526315789,47.94520547945205,47.2972972972973,59.29203539823009,47.24409448818898,
Morrell Park/Violetville,pread8XX,Education and Youth,,,,,,52.12765957446809,43.93939393939394,55.73770491803278,65.57377049180327,85.07462686567165,56.98924731182796,
Mt. Washington/Coldspring,pread8XX,Education and Youth,,,,,,92.85714285714286,90.9090909090909,72.72727272727273,92.85714285714286,81.25,60.71428571428571,
North Baltimore/Guilford/Homeland,pread8XX,Education and Youth,,,,,,74.19354838709677,56.25,68.75,79.16666666666666,89.65517241379311,53.84615384615385,
Northwood,pread8XX,Education and Youth,,,,,,42.7536231884058,39.285714285714285,39.00709219858156,51.96850393700787,64.22018348623854,50.75757575757576,
Oldtown/Middle East,pread8XX,Education and Youth,,,,,,,,,,,37.96296296296296,
Orangeville/East Highlandtown,pread8XX,Education and Youth,,,,,,36.76470588235294,37.5,50.0,50.0,67.27272727272727,41.46341463414634,
Patterson Park North & East,pread8XX,Education and Youth,,,,,,34.183673469387756,32.33830845771145,30.58823529411765,36.885245901639344,50.36496350364964,49.75609756097561,
Penn North/Reservoir Hill,pread8XX,Education and Youth,,,,,,40.131578947368425,35.9375,50.0,47.74774774774775,64.35643564356435,49.473684210526315,
Perkins/Middle East,pread8XX,Education and Youth,,,,,,25.0,24.418604651162788,32.78688524590164,31.818181818181817,59.57446808510638,,
Pimlico/Arlington/Hilltop,pread8XX,Education and Youth,,,,,,36.92307692307693,28.415300546448087,38.46153846153847,37.93103448275862,58.108108108108105,54.248366013071895,
Poppleton/The Terraces/Hollins Market,pread8XX,Education and Youth,,,,,,42.857142857142854,37.735849056603776,41.0958904109589,39.58333333333333,47.14285714285714,50.0,
Sandtown-Winchester/Harlem Park,pread8XX,Education and Youth,,,,,,35.10204081632653,40.969162995594715,43.04635761589404,41.57303370786517,61.53846153846154,39.603960396039604,
South Baltimore,pread8XX,Education and Youth,,,,,,54.166666666666664,65.51724137931035,72.0,73.68421052631578,66.66666666666666,75.0,
Southeastern,pread8XX,Education and Youth,,,,,,31.88405797101449,21.428571428571427,32.758620689655174,42.857142857142854,74.35897435897436,73.21428571428571,
Southern Park Heights,pread8XX,Education and Youth,,,,,,26.104417670682732,40.09661835748793,36.75675675675676,50.0,63.503649635036496,52.02702702702703,
Southwest Baltimore,pread8XX,Education and Youth,,,,,,35.932203389830505,31.906614785992215,44.27860696517413,40.44943820224719,51.33928571428571,42.46031746031746,
The Waverlies,pread8XX,Education and Youth,,,,,,40.56603773584906,52.21238938053098,50.0,59.63302752293578,70.65217391304348,51.24999999999999,
Upton/Druid Heights*,pread8XX,Education and Youth,,,,,,33.33333333333333,36.666666666666664,39.516129032258064,33.87096774193548,47.40740740740741,38.63636363636363,
Washington Village,pread8XX,Education and Youth,,,,,,42.30769230769231,43.333333333333336,50.0,46.34146341463415,59.61538461538461,52.0,
Westport/Mt. Winans/Lakeland,pread8XX,Education and Youth,,,,,,54.23728813559322,55.208333333333336,53.191489361702125,42.99065420560748,46.808510638297875,53.0,
Baltimore City,pread8XX,Education and Youth,,,,,,40.50451483445607,39.890544238370325,45.18518518518518,49.635169646114555,61.78,52.04149933065596,
Allendale/Irvington/S. Hilton,hsaengXX,Education and Youth,,,,,,,,49.44444444444444,39.792387543252595,35.50488599348534,38.01652892561984,
Beechfield/Ten Hills/West Hills,hsaengXX,Education and Youth,,,,,,,,64.22018348623854,43.44262295081967,49.34210526315789,43.575418994413404,
Belair-Edison,hsaengXX,Education and Youth,,,,,,,,50.88495575221239,39.58333333333333,35.36585365853659,32.48730964467005,
Brooklyn/Curtis Bay/Hawkins Point,hsaengXX,Education and Youth,,,,,,,,50.877192982456144,40.74074074074074,49.166666666666664,39.20454545454545,
Canton,hsaengXX,Education and Youth,,,,,,,,80.0,33.33333333333333,35.714285714285715,42.857142857142854,
Cedonia/Frankford,hsaengXX,Education and Youth,,,,,,,,47.330960854092524,42.44031830238727,34.204275534441805,30.971659919028337,
Cherry Hill,hsaengXX,Education and Youth,,,,,,,,41.07142857142857,38.93129770992366,33.72781065088758,29.67032967032967,
Chinquapin Park/Belvedere,hsaengXX,Education and Youth,,,,,,,,50.79365079365079,36.27450980392157,46.72131147540984,44.680851063829785,
Claremont/Armistead,hsaengXX,Education and Youth,,,,,,,,46.2962962962963,44.0,40.476190476190474,27.27272727272727,
Clifton-Berea,hsaengXX,Education and Youth,,,,,,,,41.5929203539823,32.369942196531795,32.17391304347826,24.528301886792452,
Cross-Country/Cheswolde,hsaengXX,Education and Youth,,,,,,,,40.0,60.71428571428571,56.666666666666664,42.42424242424242,
Dickeyville/Franklintown,hsaengXX,Education and Youth,,,,,,,,54.54545454545454,35.294117647058826,39.21568627450981,43.13725490196079,
Dorchester/Ashburton,hsaengXX,Education and Youth,,,,,,,,49.31506849315068,43.85026737967914,36.0,37.552742616033754,
Downtown/Seton Hill,hsaengXX,Education and Youth,,,,,,,,20.0,54.166666666666664,26.31578947368421,41.17647058823529,
Edmondson Village,hsaengXX,Education and Youth,,,,,,,,53.91304347826087,35.46099290780142,42.02127659574468,35.602094240837694,
Fells Point,hsaengXX,Education and Youth,,,,,,,,71.42857142857143,55.00000000000001,39.130434782608695,41.66666666666667,
Forest Park/Walbrook,hsaengXX,Education and Youth,,,,,,,,50.877192982456144,43.373493975903614,40.0,39.6551724137931,
Glen-Falstaff,hsaengXX,Education and Youth,,,,,,,,44.230769230769226,42.073170731707314,44.32432432432433,45.22292993630573,
Greater Charles Village/Barclay,hsaengXX,Education and Youth,,,,,,,,42.1875,32.8125,39.75903614457831,33.33333333333333,
Greater Govans,hsaengXX,Education and Youth,,,,,,,,51.28205128205128,45.40540540540541,39.726027397260275,40.44444444444444,
Greater Mondawmin,hsaengXX,Education and Youth,,,,,,,,50.495049504950494,45.67901234567901,35.67567567567568,29.629629629629626,
Greater Roland Park/Poplar Hill,hsaengXX,Education and Youth,,,,,,,,92.85714285714286,72.72727272727273,82.35294117647058,81.81818181818183,
Greater Rosemont,hsaengXX,Education and Youth,,,,,,,,37.83783783783784,35.65217391304348,28.463476070528966,37.89731051344744,
Greenmount East,hsaengXX,Education and Youth,,,,,,,,34.57943925233645,42.857142857142854,37.93103448275862,27.80487804878049,
Hamilton,hsaengXX,Education and Youth,,,,,,,,54.6875,47.05882352941176,41.509433962264154,50.847457627118644,
Harbor East/Little Italy,hsaengXX,Education and Youth,,,,,,,,,,,33.33333333333333,
Harford/Echodale,hsaengXX,Education and Youth,,,,,,,,64.34782608695652,42.285714285714285,47.0873786407767,47.91666666666667,
Highlandtown,hsaengXX,Education and Youth,,,,,,,,60.86956521739131,21.73913043478261,21.21212121212121,36.36363636363637,
Howard Park/West Arlington,hsaengXX,Education and Youth,,,,,,,,58.87850467289719,42.06896551724138,43.90243902439025,38.15028901734104,
Inner Harbor/Federal Hill,hsaengXX,Education and Youth,,,,,,,,67.74193548387096,51.515151515151516,42.857142857142854,28.30188679245283,
Jonestown/Oldtown,hsaengXX,Education and Youth,,,,,,,,33.76623376623377,26.31578947368421,32.28346456692913,,
Lauraville,hsaengXX,Education and Youth,,,,,,,,53.63636363636364,54.966887417218544,46.15384615384615,40.46242774566474,
Loch Raven,hsaengXX,Education and Youth,,,,,,,,62.35955056179775,39.285714285714285,45.83333333333333,40.92664092664093,
Madison/East End,hsaengXX,Education and Youth,,,,,,,,40.95238095238095,33.33333333333333,27.322404371584703,21.58590308370044,
Medfield/Hampden/Woodberry,hsaengXX,Education and Youth,,,,,,,,62.68656716417911,62.35294117647059,51.0,54.44444444444444,
Midtown*,hsaengXX,Education and Youth,,,,,,,,48.0,30.555555555555557,34.04255319148936,56.25,
Midway/Coldstream,hsaengXX,Education and Youth,,,,,,,,51.61290322580645,37.83783783783784,38.27751196172249,36.0,
Morrell Park/Violetville,hsaengXX,Education and Youth,,,,,,,,68.96551724137932,60.526315789473685,60.0,59.01639344262295,
Mt. Washington/Coldspring,hsaengXX,Education and Youth,,,,,,,,94.73684210526315,86.66666666666667,69.23076923076923,68.75,
North Baltimore/Guilford/Homeland,hsaengXX,Education and Youth,,,,,,,,72.41379310344827,57.57575757575758,57.89473684210527,70.83333333333334,
Northwood,hsaengXX,Education and Youth,,,,,,,,53.59477124183007,42.63959390862944,40.63926940639269,38.034188034188034,
Oldtown/Middle East,hsaengXX,Education and Youth,,,,,,,,,,,26.21951219512195,
Orangeville/East Highlandtown,hsaengXX,Education and Youth,,,,,,,,52.77777777777778,45.45454545454545,38.666666666666664,33.72093023255814,
Patterson Park North & East,hsaengXX,Education and Youth,,,,,,,,46.400000000000006,35.05747126436782,32.323232323232325,35.12195121951219,
Penn North/Reservoir Hill,hsaengXX,Education and Youth,,,,,,,,47.27272727272727,28.27586206896552,35.95505617977528,28.735632183908045,
Perkins/Middle East,hsaengXX,Education and Youth,,,,,,,,32.69230769230769,36.666666666666664,34.84848484848485,,
Pimlico/Arlington/Hilltop,hsaengXX,Education and Youth,,,,,,,,39.24050632911392,33.33333333333333,30.833333333333336,35.775862068965516,
Poppleton/The Terraces/Hollins Market,hsaengXX,Education and Youth,,,,,,,,59.61538461538461,39.39393939393939,36.986301369863014,24.418604651162788,
Sandtown-Winchester/Harlem Park,hsaengXX,Education and Youth,,,,,,,,35.9375,37.1900826446281,27.659574468085108,29.6398891966759,
South Baltimore,hsaengXX,Education and Youth,,,,,,,,56.25,64.0,52.63157894736842,53.57142857142857,
Southeastern,hsaengXX,Education and Youth,,,,,,,,50.0,31.147540983606557,29.87012987012987,38.35616438356164,
Southern Park Heights,hsaengXX,Education and Youth,,,,,,,,43.63636363636363,37.94642857142857,37.15415019762846,31.620553359683797,
Southwest Baltimore,hsaengXX,Education and Youth,,,,,,,,42.211055276381906,32.45614035087719,38.48580441640379,27.42857142857143,
The Waverlies,hsaengXX,Education and Youth,,,,,,,,46.42857142857143,42.15686274509804,44.53125,35.57046979865772,
Upton/Druid Heights*,hsaengXX,Education and Youth,,,,,,,,34.21052631578947,28.187919463087248,25.961538461538463,24.725274725274726,
Washington Village,hsaengXX,Education and Youth,,,,,,,,42.10526315789473,40.38461538461539,38.59649122807017,44.11764705882353,
Westport/Mt. Winans/Lakeland,hsaengXX,Education and Youth,,,,,,,,44.0,47.31182795698925,44.54545454545455,33.88429752066116,
Baltimore City,hsaengXX,Education and Youth,,,,,,,,48.85381435550545,40.42223786066151,38.157117542823386,37.347629796839726,
Allendale/Irvington/S. Hilton,hsabioXX,Education and Youth,,,,,,,,27.27272727272727,45.76271186440678,44.086021505376344,41.01876675603217,
Beechfield/Ten Hills/West Hills,hsabioXX,Education and Youth,,,,,,,,37.333333333333336,60.204081632653065,47.368421052631575,47.56756756756757,
Belair-Edison,hsabioXX,Education and Youth,,,,,,,,35.714285714285715,40.909090909090914,43.034055727554176,36.93181818181818,
Brooklyn/Curtis Bay/Hawkins Point,hsabioXX,Education and Youth,,,,,,,,47.5,50.0,47.05882352941176,45.36082474226804,
Canton,hsabioXX,Education and Youth,,,,,,,,50.0,100.0,68.75,50.0,
Cedonia/Frankford,hsabioXX,Education and Youth,,,,,,,,38.12154696132597,48.60557768924303,41.95402298850575,39.443155452436194,
Cherry Hill,hsabioXX,Education and Youth,,,,,,,,26.08695652173913,36.36363636363637,38.88888888888889,32.04419889502763,
Chinquapin Park/Belvedere,hsabioXX,Education and Youth,,,,,,,,50.0,45.33333333333333,46.875,43.956043956043956,
Claremont/Armistead,hsabioXX,Education and Youth,,,,,,,,51.61290322580645,41.37931034482759,55.294117647058826,51.94805194805194,
Clifton-Berea,hsabioXX,Education and Youth,,,,,,,,32.78688524590164,42.3728813559322,36.0655737704918,33.46938775510204,
Cross-Country/Cheswolde,hsabioXX,Education and Youth,,,,,,,,48.0,61.53846153846154,71.42857142857143,73.07692307692307,
Dickeyville/Franklintown,hsabioXX,Education and Youth,,,,,,,,27.77777777777778,59.375,48.717948717948715,47.61904761904761,
Dorchester/Ashburton,hsabioXX,Education and Youth,,,,,,,,40.0,55.90551181102362,46.706586826347305,38.70967741935484,
Downtown/Seton Hill,hsabioXX,Education and Youth,,,,,,,,38.46153846153847,50.0,23.076923076923077,33.33333333333333,
Edmondson Village,hsabioXX,Education and Youth,,,,,,,,31.48148148148148,45.19230769230769,40.42553191489361,45.539906103286384,
Fells Point,hsabioXX,Education and Youth,,,,,,,,90.9090909090909,72.22222222222221,57.89473684210527,42.857142857142854,
Forest Park/Walbrook,hsabioXX,Education and Youth,,,,,,,,44.44444444444444,51.587301587301596,46.32352941176471,46.58385093167702,
Glen-Falstaff,hsabioXX,Education and Youth,,,,,,,,43.47826086956522,52.25225225225225,51.94805194805194,49.122807017543856,
Greater Charles Village/Barclay,hsabioXX,Education and Youth,,,,,,,,44.11764705882353,55.55555555555556,53.01204819277109,37.096774193548384,
Greater Govans,hsabioXX,Education and Youth,,,,,,,,34.24657534246575,50.79365079365079,46.51162790697674,40.51724137931034,
Greater Mondawmin,hsabioXX,Education and Youth,,,,,,,,54.71698113207547,46.53465346534654,38.68613138686132,38.62433862433862,
Greater Roland Park/Poplar Hill,hsabioXX,Education and Youth,,,,,,,,100.0,84.61538461538461,94.44444444444444,94.11764705882352,
Greater Rosemont,hsabioXX,Education and Youth,,,,,,,,30.538922155688624,44.10480349344978,36.708860759493675,38.38383838383838,
Greenmount East,hsabioXX,Education and Youth,,,,,,,,39.24050632911392,34.90566037735849,41.49659863945578,34.5,
Hamilton,hsabioXX,Education and Youth,,,,,,,,48.75,55.38461538461539,56.12903225806451,55.172413793103445,
Harbor East/Little Italy,hsabioXX,Education and Youth,,,,,,,,,,,38.0,
Harford/Echodale,hsabioXX,Education and Youth,,,,,,,,58.490566037735846,61.06870229007634,48.57142857142857,45.78313253012048,
Highlandtown,hsabioXX,Education and Youth,,,,,,,,30.76923076923077,41.17647058823529,60.86956521739131,41.935483870967744,
Howard Park/West Arlington,hsabioXX,Education and Youth,,,,,,,,42.62295081967213,58.06451612903226,44.5945945945946,49.700598802395206,
Inner Harbor/Federal Hill,hsabioXX,Education and Youth,,,,,,,,57.14285714285714,54.83870967741935,37.93103448275862,32.55813953488372,
Jonestown/Oldtown,hsabioXX,Education and Youth,,,,,,,,38.46153846153847,50.0,30.357142857142854,,
Lauraville,hsabioXX,Education and Youth,,,,,,,,50.588235294117645,62.28070175438597,53.191489361702125,41.76470588235294,
Loch Raven,hsabioXX,Education and Youth,,,,,,,,51.578947368421055,48.466257668711656,52.083333333333336,46.26168224299065,
Madison/East End,hsabioXX,Education and Youth,,,,,,,,26.31578947368421,39.58333333333333,27.611940298507463,28.095238095238095,
Medfield/Hampden/Woodberry,hsabioXX,Education and Youth,,,,,,,,72.0,57.74647887323944,58.333333333333336,60.67415730337079,
Midtown*,hsabioXX,Education and Youth,,,,,,,,57.89473684210527,38.095238095238095,40.0,53.333333333333336,
Midway/Coldstream,hsabioXX,Education and Youth,,,,,,,,38.297872340425535,50.0,46.55172413793103,37.43016759776536,
Morrell Park/Violetville,hsabioXX,Education and Youth,,,,,,,,56.52173913043478,63.33333333333333,63.04347826086957,57.89473684210527,
Mt. Washington/Coldspring,hsabioXX,Education and Youth,,,,,,,,68.75,83.33333333333334,80.0,86.66666666666667,
North Baltimore/Guilford/Homeland,hsabioXX,Education and Youth,,,,,,,,57.14285714285714,69.44444444444444,51.35135135135135,76.66666666666667,
Northwood,hsabioXX,Education and Youth,,,,,,,,43.529411764705884,52.5,46.85714285714286,38.56502242152467,
Oldtown/Middle East,hsabioXX,Education and Youth,,,,,,,,,,,40.25157232704403,
Orangeville/East Highlandtown,hsabioXX,Education and Youth,,,,,,,,53.125,57.14285714285714,54.83870967741935,45.45454545454545,
Patterson Park North & East,hsabioXX,Education and Youth,,,,,,,,46.478873239436616,55.371900826446286,44.666666666666664,37.5,
Penn North/Reservoir Hill,hsabioXX,Education and Youth,,,,,,,,29.166666666666668,36.17021276595745,44.60431654676259,37.43589743589744,
Perkins/Middle East,hsabioXX,Education and Youth,,,,,,,,40.74074074074074,50.0,32.20338983050847,,
Pimlico/Arlington/Hilltop,hsabioXX,Education and Youth,,,,,,,,30.851063829787233,41.891891891891895,32.25806451612903,42.1455938697318,
Poppleton/The Terraces/Hollins Market,hsabioXX,Education and Youth,,,,,,,,20.689655172413794,46.0,31.25,44.44444444444444,
Sandtown-Winchester/Harlem Park,hsabioXX,Education and Youth,,,,,,,,25.862068965517242,38.46153846153847,36.32286995515695,32.94117647058823,
South Baltimore,hsabioXX,Education and Youth,,,,,,,,71.42857142857143,93.75,75.86206896551724,47.61904761904761,
Southeastern,hsabioXX,Education and Youth,,,,,,,,44.827586206896555,55.26315789473685,49.01960784313725,43.47826086956522,
Southern Park Heights,hsabioXX,Education and Youth,,,,,,,,34.90566037735849,44.15584415584416,39.90147783251231,40.963855421686745,
Southwest Baltimore,hsabioXX,Education and Youth,,,,,,,,31.182795698924732,44.31818181818182,40.95238095238095,38.05555555555556,
The Waverlies,hsabioXX,Education and Youth,,,,,,,,50.81967213114754,42.64705882352941,40.54054054054054,45.88235294117647,
Upton/Druid Heights*,hsabioXX,Education and Youth,,,,,,,,38.095238095238095,32.631578947368425,32.63888888888889,30.555555555555557,
Washington Village,hsabioXX,Education and Youth,,,,,,,,47.82608695652174,37.5,56.36363636363636,38.46153846153847,
Westport/Mt. Winans/Lakeland,hsabioXX,Education and Youth,,,,,,,,48.837209302325576,50.68493150684932,50.505050505050505,38.26086956521739,
Baltimore City,hsabioXX,Education and Youth,,,,,,,,41.425525434054215,49.14756025867137,44.26927993182787,42.70098730606488,
Allendale/Irvington/S. Hilton,hsagovXX,Education and Youth,,,,,,,,55.5045871559633,60.07751937984496,43.57976653696498,52.99401197604791,
Beechfield/Ten Hills/West Hills,hsagovXX,Education and Youth,,,,,,,,60.13986013986013,70.6896551724138,55.00000000000001,60.122699386503065,
Belair-Edison,hsagovXX,Education and Youth,,,,,,,,54.47761194029851,56.67752442996743,45.42483660130719,39.010989010989015,
Brooklyn/Curtis Bay/Hawkins Point,hsagovXX,Education and Youth,,,,,,,,57.14285714285714,66.26506024096386,50.0,55.625,
Canton,hsagovXX,Education and Youth,,,,,,,,71.42857142857143,66.66666666666666,61.53846153846154,18.181818181818183,
Cedonia/Frankford,hsagovXX,Education and Youth,,,,,,,,57.14285714285714,63.26530612244898,43.869209809264305,44.23963133640553,
Cherry Hill,hsagovXX,Education and Youth,,,,,,,,49.629629629629626,53.125,40.87591240875913,43.646408839779006,
Chinquapin Park/Belvedere,hsagovXX,Education and Youth,,,,,,,,47.72727272727273,57.57575757575758,46.788990825688074,47.12643678160919,
Claremont/Armistead,hsagovXX,Education and Youth,,,,,,,,58.18181818181818,56.470588235294116,45.83333333333333,48.19277108433735,
Clifton-Berea,hsagovXX,Education and Youth,,,,,,,,50.33557046979866,43.0939226519337,42.05607476635514,40.23904382470119,
Cross-Country/Cheswolde,hsagovXX,Education and Youth,,,,,,,,60.0,67.74193548387096,75.0,63.33333333333333,
Dickeyville/Franklintown,hsagovXX,Education and Youth,,,,,,,,40.0,70.73170731707317,61.76470588235294,51.06382978723404,
Dorchester/Ashburton,hsagovXX,Education and Youth,,,,,,,,54.21686746987952,61.82795698924731,46.706586826347305,50.63291139240506,
Downtown/Seton Hill,hsagovXX,Education and Youth,,,,,,,,55.00000000000001,70.0,53.333333333333336,47.05882352941176,
Edmondson Village,hsagovXX,Education and Youth,,,,,,,,52.27272727272727,61.53846153846154,51.829268292682926,54.23728813559322,
Fells Point,hsagovXX,Education and Youth,,,,,,,,70.58823529411765,72.22222222222221,40.0,50.0,
Forest Park/Walbrook,hsagovXX,Education and Youth,,,,,,,,53.07692307692308,59.50920245398773,44.936708860759495,50.0,
Glen-Falstaff,hsagovXX,Education and Youth,,,,,,,,48.05194805194805,66.43356643356644,53.74149659863946,50.0,
Greater Charles Village/Barclay,hsagovXX,Education and Youth,,,,,,,,41.66666666666667,55.55555555555556,47.76119402985074,37.333333333333336,
Greater Govans,hsagovXX,Education and Youth,,,,,,,,54.83870967741935,54.09836065573771,48.93617021276596,45.36585365853659,
Greater Mondawmin,hsagovXX,Education and Youth,,,,,,,,47.61904761904761,53.37423312883436,42.857142857142854,37.43016759776536,
Greater Roland Park/Poplar Hill,hsagovXX,Education and Youth,,,,,,,,90.0,87.5,85.0,87.5,
Greater Rosemont,hsagovXX,Education and Youth,,,,,,,,43.07692307692308,51.5625,42.608695652173914,46.666666666666664,
Greenmount East,hsagovXX,Education and Youth,,,,,,,,46.35761589403973,57.66423357664233,44.230769230769226,41.17647058823529,
Hamilton,hsagovXX,Education and Youth,,,,,,,,53.191489361702125,56.41025641025641,51.388888888888886,52.601156069364166,
Harbor East/Little Italy,hsagovXX,Education and Youth,,,,,,,,,,,52.72727272727272,
Harford/Echodale,hsagovXX,Education and Youth,,,,,,,,60.689655172413794,58.620689655172406,54.14012738853503,60.67415730337079,
Highlandtown,hsagovXX,Education and Youth,,,,,,,,51.61290322580645,60.86956521739131,44.827586206896555,33.33333333333333,
Howard Park/West Arlington,hsagovXX,Education and Youth,,,,,,,,57.25190839694656,58.139534883720934,46.043165467625904,49.70414201183432,
Inner Harbor/Federal Hill,hsagovXX,Education and Youth,,,,,,,,70.73170731707317,70.0,39.285714285714285,59.09090909090909,
Jonestown/Oldtown,hsagovXX,Education and Youth,,,,,,,,62.96296296296296,43.15789473684211,42.201834862385326,,
Lauraville,hsagovXX,Education and Youth,,,,,,,,53.42465753424658,65.49295774647888,59.72222222222222,42.138364779874216,
Loch Raven,hsagovXX,Education and Youth,,,,,,,,64.92890995260665,55.203619909502265,50.0,49.36708860759494,
Madison/East End,hsagovXX,Education and Youth,,,,,,,,49.25373134328358,49.693251533742334,28.313253012048197,28.31050228310502,
Medfield/Hampden/Woodberry,hsagovXX,Education and Youth,,,,,,,,60.91954022988506,80.0,60.526315789473685,59.09090909090909,
Midtown*,hsagovXX,Education and Youth,,,,,,,,44.44444444444444,55.88235294117647,54.54545454545454,50.0,
Midway/Coldstream,hsagovXX,Education and Youth,,,,,,,,48.19277108433735,54.310344827586206,48.484848484848484,52.77777777777778,
Morrell Park/Violetville,hsagovXX,Education and Youth,,,,,,,,77.5,69.23076923076923,57.57575757575758,73.77049180327869,
Mt. Washington/Coldspring,hsagovXX,Education and Youth,,,,,,,,80.0,91.66666666666666,66.66666666666666,80.0,
North Baltimore/Guilford/Homeland,hsagovXX,Education and Youth,,,,,,,,70.0,76.92307692307693,69.44444444444444,85.71428571428571,
Northwood,hsagovXX,Education and Youth,,,,,,,,55.05050505050505,58.68263473053892,46.596858638743456,50.0,
Oldtown/Middle East,hsagovXX,Education and Youth,,,,,,,,,,,41.9753086419753,
Orangeville/East Highlandtown,hsagovXX,Education and Youth,,,,,,,,61.016949152542374,68.75,56.25,42.25352112676056,
